Training Loss,Test Loss
0.00017902673681577047,3.3416694030165673e-06
7.431703253338735e-05,8.790035247802734e-05
4.610831551253796e-05,5.276802405714989e-05
3.349825854723652e-05,3.809763453900814e-05
2.6019079238176346e-05,2.731354031711817e-05
2.513433462008834e-05,2.357434332370758e-05
2.4374646103630464e-05,2.2960473969578744e-05
2.391413189470768e-05,2.225797828286886e-05
2.3855669454981882e-05,2.2143690288066865e-05
2.378894065817197e-05,2.2069971822202205e-05
2.3723766145606836e-05,2.2014675848186016e-05
2.3732993751764298e-05,2.1973627805709838e-05
2.3717405864348013e-05,2.2037928551435472e-05
2.3737260264654954e-05,2.1941701136529446e-05
2.3717639750490586e-05,2.2025627456605435e-05
2.3706349978844326e-05,2.1941142901778222e-05
2.371999385456244e-05,2.1961732022464277e-05
2.3703209528078637e-05,2.1978860162198544e-05
2.3720270084838073e-05,2.194994520395994e-05
2.371774675945441e-05,2.198922075331211e-05
2.3718807256470124e-05,2.1983573213219643e-05
2.3719586711376905e-05,2.198043055832386e-05
2.372038122266531e-05,2.1944678947329522e-05
2.3721858703841766e-05,2.201928850263357e-05
2.372391556079189e-05,2.1949493139982225e-05
2.3724693432450294e-05,2.1993866376578807e-05
2.3708076433589063e-05,2.1940961107611655e-05
2.3714616615325213e-05,2.2036969475448133e-05
2.3706355411559344e-05,2.194233909249306e-05
2.371446161220471e-05,2.1986720710992814e-05
2.3700275116910536e-05,2.193548493087292e-05
2.3727037167797487e-05,2.1984145417809486e-05
2.3717403318732978e-05,2.1929542906582354e-05
2.3713152421017486e-05,2.193176317960024e-05
2.372374056528012e-05,2.1925847232341766e-05
2.3713263496756554e-05,2.1949681453406812e-05
2.3728232209881146e-05,2.1981020085513593e-05
2.3719280989219744e-05,2.1998109109699725e-05
2.3703015098969143e-05,2.1908082254230975e-05
2.3722510940084856e-05,2.1957281604409218e-05
2.372803936402003e-05,2.1971209160983564e-05
2.3727660967657964e-05,2.1959979087114336e-05
2.37083721285065e-05,2.1913377195596695e-05
2.3730144618699948e-05,2.1993000619113445e-05
2.3701324065526325e-05,2.194641660898924e-05
2.37276383365194e-05,2.1945368498563766e-05
2.3706321883946658e-05,2.1956614963710307e-05
2.371838114534815e-05,2.1973455138504506e-05
2.370900856330991e-05,2.1952704526484013e-05
2.373156792794665e-05,2.1991782262921333e-05
